id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
736534,Enjoy a Private Room in Chartfield Guesthouse,3007248,Florian,,Ward 64,-34.12637,18.44963,Private room,1250,1,69,2022-12-13,0.82,18,310,16,
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,515,3,70,2022-12-23,0.60,1,297,14,
1625734,"Fabulous Villa, Large Entertainment Area Patio/Pool",8643899,Linda,,Ward 62,-34.03014,18.42844,Entire home/apt,12500,7,5,2022-04-25,0.10,4,340,1,
742345,Room with a View - Green Point,3886732,Koos,,Ward 115,-33.90999,18.41148,Entire home/apt,750,3,12,2022-12-11,0.29,80,123,6,
1626659,Big Bay La Paloma - 2 bedroom suite,5646468,Madeleine,,Ward 23,-33.780788,18.454124,Private room,800,1,12,2022-12-20,0.11,2,162,4,
15007,Blaauwberg House,59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,3684,2,41,2022-12-23,0.37,4,61,7,
751120,Open plan family home with pool and cottage,2210731,Martin And Janis,,Ward 58,-33.98061,18.4793,Entire home/apt,2600,8,8,2020-01-06,0.07,1,192,0,
15077,Top relaxed beach living in style,59342,Georg,,Ward 4,-33.858356,18.490376,Private room,2119,5,7,2022-06-16,0.06,6,281,2,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
1642108,Guinea Fowl House Kommetjie,8718245,Michele,,Ward 61,-34.13829,18.32878,Entire home/apt,3500,2,2,2022-01-02,0.08,4,119,1,
751785,P4 Albany - Instaworthy Views. Free Parking. Walk Everywhere,2516345,Jaco,,Ward 115,-33.9242,18.42451,Entire home/apt,2218,3,14,2022-09-02,0.12,68,292,1,
1642844,"Classic Victorian Home, views over the Ocean !",8721135,James,,Ward 115,-33.90916,18.40478,Entire home/apt,9400,6,2,2022-05-31,0.02,1,333,1,
15285,Waterford-Guinea Fowl Self Catering,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,1600,2,11,2022-01-17,0.08,3,27,2,
753843,"Location & personality! 413 Cascades, Green Point.",3902221,Samantha,,Ward 115,-33.9096,18.41316,Entire home/apt,879,2,31,2018-08-09,0.25,1,0,0,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.82924,18.63144,Entire home/apt,650,3,0,,,1,332,0,
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,650,21,23,2022-08-24,0.15,1,162,4,
1643042,Executive Living surrounded by Street Art,8721830,Dencel,,Ward 57,-33.93249,18.46177,Entire home/apt,1021,2,42,2022-12-13,0.50,27,46,23,
754780,Large and clean room in a house,3971841,John,,Ward 57,-33.93662,18.46369,Private room,3912,14,0,,,1,365,0,
1643095,Junior Suite next to the beach,59342,Georg,,Ward 4,-33.858356,18.490376,Private room,3160,5,2,2015-04-07,0.02,6,287,0,
759767,Woodbridge Island Townhouse in private estate.,4004504,Steven,,Ward 55,-33.88632,18.48759,Entire home/apt,1400,7,17,2022-12-09,0.14,1,334,2,
1644384,Spacious Family Home in Claremont,8727158,Elmarie,,Ward 58,-33.97787,18.48628,Entire home/apt,3500,10,2,2019-01-03,0.02,1,52,0,
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,76696,4,1,2017-11-14,0.02,7,296,0,
16259,Chambery - luxury self catering,63255,Cheryl,,Ward 59,-33.99463,18.46505,Entire home/apt,1095,2,16,2022-04-27,0.16,3,73,4,
768582,Stylish and bright Sea Point 1-Bed apartment,4054512,Lizzie,,Ward 54,-33.91449,18.39401,Entire home/apt,1129,5,10,2021-01-02,0.08,1,251,0,
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,,Ward 2,-33.88856,18.59054,Private room,1014,7,0,,,1,364,0,
771176,African Sun,4065747,Don,,Ward 77,-33.93986,18.42288,Entire home/apt,626,2,257,2022-12-26,2.10,1,304,19,
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97905,18.45676,Entire home/apt,611,2,91,2022-12-21,0.69,4,296,26,
1653819,"Market House, Flat 402.",7080534,Connell Davids,,Ward 115,-33.92213,18.41945,Entire home/apt,731,3,225,2022-10-18,2.04,1,306,13,
776601,Beautiful Heritage Home,4094560,Amelia,,Ward 77,-33.94297,18.41952,Entire home/apt,8096,7,2,2020-01-10,0.03,3,0,0,
19384,2 bed home with a view under Table Mountain.,73764,Ingrid,,Ward 77,-33.92667,18.40623,Entire home/apt,1500,1,6,2020-01-29,0.09,1,90,0,
778089,Tristan's Beach House - Cape Town,2130446,Heather,,Ward 61,-34.138901,18.328859,Entire home/apt,4500,2,15,2022-04-18,0.13,3,218,3,
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84192,18.67661,Private room,3436,2,0,,,1,365,0,
1657639,Homely house close to the beach,8786972,Maarten,,Ward 74,-34.04289,18.3514,Entire home/apt,1400,7,47,2022-12-13,0.44,1,288,1,
782166,Wessels House Studio,2604213,Chris,,Ward 115,-33.91136,18.41357,Entire home/apt,1250,2,24,2020-12-23,0.20,2,315,0,
